time_s,total_load_kw,total_queue,bus_0_soc,bus_1_soc,bus_2_soc,bus_3_soc,bus_4_soc,bus_0_charging,bus_1_charging,bus_2_charging,bus_3_charging,bus_4_charging
2,120.0,4,21.71702822479966,23.87780251692823,15.822964430143353,19.173298092454036,15.24706205757633,0,0,1,0,0
4,120.0,4,21.772583780355216,23.83380935680801,15.776540533992542,19.127377988055365,15.196151920771959,0,0,1,0,0
6,120.0,4,21.82813933591077,23.78981619668779,15.730116637841729,19.081457883656697,15.145241783967586,0,0,1,0,0
8,120.0,4,21.883694891466327,23.745823036567568,15.683692741690919,19.035537779258025,15.094331647163218,0,0,1,0,0
10,120.0,4,21.939250447021884,23.70182987644735,15.637268845540106,18.989617674859353,15.043421510358845,0,0,1,0,0
12,120.0,4,21.994806002577434,23.657836716327125,15.590844949389297,18.943697570460685,14.992511373554473,0,0,1,0,0
14,120.0,4,22.05036155813299,23.613843556206902,15.544421053238485,18.897777466062013,14.941601236750104,0,0,1,0,0
16,120.0,4,22.105917113688548,23.569850396086682,15.497997157087672,18.851857361663342,14.890691099945732,0,0,1,0,0
18,120.0,4,22.1614726692441,23.52585723596646,15.451573260936863,18.805937257264674,14.839780963141362,0,0,1,0,0
20,120.0,4,22.21702822479966,23.48186407584624,15.40514936478605,18.760017152866002,14.78887082633699,0,0,1,0,0
22,120.0,4,22.272583780355212,23.437870915726016,15.35872546863524,18.71409704846733,14.73796068953262,0,0,1,0,0
24,120.0,4,22.32813933591077,23.393877755605796,15.31230157248443,18.668176944068662,14.687050552728248,0,0,1,0,0
26,120.0,4,22.383694891466323,23.349884595485577,15.265877676333616,18.62225683966999,14.636140415923876,0,0,1,0,0
28,120.0,4,22.43925044702188,23.305891435365353,15.219453780182807,18.57633673527132,14.585230279119504,0,0,1,0,0
30,120.0,4,22.494806002577437,23.261898275245134,15.173029884031994,18.53041663087265,14.534320142315135,0,0,1,0,0
32,120.0,4,22.550361558132987,23.21790511512491,15.126605987881184,18.48449652647398,14.483410005510763,0,0,1,0,0
34,120.0,4,22.605917113688545,23.17391195500469,15.080182091730373,18.438576422075307,14.432499868706392,0,0,1,0,0
36,120.0,4,22.6614726692441,23.129918794884468,15.03375819557956,18.39265631767664,14.38158973190202,0,0,1,0,0
38,120.0,4,22.717028224799655,23.085925634764244,14.98733429942875,18.346736213277968,14.330679595097651,0,0,1,0,0
40,120.0,4,22.772583780355212,23.041932474644025,14.940910403277938,18.300816108879296,14.279769458293279,0,0,1,0,0
42,120.0,4,22.828139335910766,22.9979393145238,14.894486507127128,18.254896004480628,14.228859321488907,0,0,1,0,0
44,120.0,4,22.883694891466323,22.95394615440358,14.848062610976317,18.208975900081956,14.177949184684538,0,0,1,0,0
46,120.0,4,22.939250447021877,22.909952994283362,14.801638714825504,18.163055795683285,14.127039047880166,0,0,1,0,0
48,120.0,4,22.994806002577434,22.86595983416314,14.755214818674695,18.117135691284616,14.076128911075795,0,0,1,0,0
50,120.0,4,23.05036155813299,22.82196667404292,14.708790922523882,18.071215586885945,14.025218774271423,0,0,1,0,0
52,120.0,4,23.10591711368854,22.777973513922696,14.662367026373072,18.025295482487273,13.974308637467054,0,0,1,0,0
54,120.0,4,23.161472669244098,22.733980353802473,14.615943130222261,17.979375378088605,13.923398500662682,0,0,1,0,0
56,120.0,4,23.217028224799655,22.689987193682253,14.569519234071448,17.933455273689933,13.87248836385831,0,0,1,0,0
58,120.0,4,23.27258378035521,22.64599403356203,14.523095337920639,17.88753516929126,13.821578227053937,0,0,1,0,0
60,120.0,4,23.328139335910766,22.60200087344181,14.476671441769826,17.841615064892594,13.770668090249568,0,0,1,0,0
62,120.0,4,23.38369489146632,22.558007713321587,14.430247545619016,17.795694960493922,13.719757953445196,0,0,1,0,0
64,120.0,4,23.439250447021877,22.514014553201367,14.383823649468205,17.74977485609525,13.668847816640826,0,0,1,0,0
66,120.0,4,23.49480600257743,22.470021393081147,14.337399753317392,17.703854751696582,13.617937679836453,0,0,1,0,0
68,120.0,4,23.550361558132987,22.426028232960924,14.290975857166583,17.65793464729791,13.567027543032085,0,0,1,0,0
70,120.0,4,23.605917113688545,22.382035072840704,14.24455196101577,17.61201454289924,13.516117406227712,0,0,1,0,0
72,120.0,4,23.661472669244095,22.33804191272048,14.19812806486496,17.56609443850057,13.46520726942334,0,0,1,0,0
74,120.0,4,23.717028224799652,22.29404875260026,14.151704168714149,17.5201743341019,13.414297132618971,0,0,1,0,0
76,120.0,4,23.77258378035521,22.250055592480038,14.105280272563336,17.474254229703227,13.363386995814599,0,0,1,0,0
78,120.0,4,23.828139335910762,22.206062432359815,14.058856376412527,17.42833412530456,13.312476859010228,0,0,1,0,0
80,120.0,4,23.88369489146632,22.162069272239595,14.012432480261714,17.382414020905887,13.261566722205853,0,0,1,0,0
82,120.0,4,23.939250447021873,22.118076112119372,13.966008584110904,17.336493916507216,13.21065658540148,0,0,1,0,0
84,120.0,4,23.99480600257743,22.074082951999152,13.919584687960093,17.290573812108548,13.15974644859711,0,0,1,0,0
86,120.0,4,24.050361558132984,22.030089791878932,13.87316079180928,17.244653707709876,13.108836311792734,0,0,1,0,0
88,120.0,4,24.10591711368854,21.98609663175871,13.82673689565847,17.198733603311204,13.057926174988363,0,0,1,0,0
90,120.0,4,24.161472669244098,21.94210347163849,13.780312999507657,17.152813498912536,13.007016038183991,0,0,1,0,0
92,120.0,4,24.21702822479965,21.898110311518266,13.733889103356848,17.106893394513865,12.956105901379619,0,0,1,0,0
94,120.0,4,24.272583780355205,21.854117151398043,13.687465207206037,17.060973290115193,12.905195764575245,0,0,1,0,0
96,120.0,4,24.328139335910762,21.810123991277823,13.641041311055224,17.015053185716525,12.854285627770873,0,0,1,0,0
98,120.0,4,24.383694891466316,21.7661308311576,13.594617414904414,16.969133081317853,12.8033754909665,0,0,1,0,0
100,120.0,4,24.439250447021873,21.72213767103738,13.548193518753601,16.92321297691918,12.75246535416213,0,0,1,0,0
102,120.0,4,24.494806002577427,21.678144510917157,13.501769622602792,16.877292872520513,12.701555217357754,0,0,1,0,0
104,120.0,4,24.550361558132984,21.634151350796937,13.45534572645198,16.83137276812184,12.650645080553383,0,0,1,0,0
106,120.0,4,24.605917113688538,21.590158190676718,13.408921830301168,16.78545266372317,12.599734943749011,0,0,1,0,0
108,120.0,4,24.661472669244095,21.546165030556494,13.362497934150358,16.739532559324502,12.548824806944639,0,0,1,0,0
110,120.0,4,24.717028224799652,21.502171870436275,13.316074037999545,16.69361245492583,12.497914670140267,0,0,1,0,0
112,120.0,4,24.772583780355202,21.45817871031605,13.269650141848736,16.64769235052716,12.447004533335893,0,0,1,0,0
114,120.0,4,24.82813933591076,21.414185550195832,13.223226245697925,16.60177224612849,12.396094396531518,0,0,1,0,0
116,120.0,4,24.883694891466316,21.37019239007561,13.176802349547112,16.55585214172982,12.345184259727148,0,0,1,0,0
118,120.0,4,24.93925044702187,21.326199229955385,13.130378453396302,16.509932037331147,12.294274122922774,0,0,1,0,0
120,120.0,4,24.994806002577427,21.282206069835173,13.083954557245494,16.464011932932486,12.243363986118407,0,0,1,0,0
122,120.0,4,25.050361558132984,21.238212909714953,13.037530661094685,16.41809182853381,12.192453849314035,0,0,1,0,0
124,120.0,4,25.105917113688538,21.19421974959473,12.991106764943872,16.372171724135143,12.141543712509662,0,0,1,0,0
126,120.0,4,25.161472669244095,21.150226589474507,12.94468286879306,16.326251619736475,12.090633575705288,0,0,1,0,0
128,120.0,4,25.21702822479965,21.106233429354283,12.898258972642248,16.2803315153378,12.039723438900916,0,0,1,0,0
130,120.0,4,25.272583780355202,21.062240269234064,12.851835076491438,16.23441141093913,11.988813302096544,0,0,1,0,0
132,120.0,4,25.32813933591076,21.018247109113844,12.805411180340629,16.188491306540463,11.937903165292171,0,0,1,0,0
134,120.0,4,25.383694891466313,20.97425394899362,12.758987284189816,16.142571202141788,11.886993028487797,0,0,1,0,0
136,120.0,4,25.439250447021873,20.9302607888734,12.712563388039005,16.09665109774312,11.836082891683427,0,0,1,0,0
138,120.0,4,25.494806002577423,20.886267628753178,12.666139491888192,16.05073099334445,11.785172754879053,0,0,1,0,0
140,120.0,4,25.550361558132977,20.842274468632958,12.619715595737382,16.004810888945777,11.73426261807468,0,0,1,0,0
142,120.0,4,25.605917113688538,20.79828130851274,12.573291699586573,15.958890784547108,11.683352481270308,0,0,1,0,0
144,120.0,4,25.66147266924409,20.754288148392515,12.52686780343576,15.912970680148439,11.632442344465936,0,0,1,0,0
146,120.0,4,25.71702822479965,20.71029498827229,12.480443907284949,15.867050575749767,11.581532207661564,0,0,1,0,0
148,120.0,4,25.772583780355202,20.66630182815207,12.434020011134137,15.821130471351097,11.530622070857191,0,0,1,0,0
150,120.0,4,25.828139335910755,20.62230866803185,12.387596114983326,15.775210366952427,11.479711934052817,0,0,1,0,0
152,120.0,4,25.883694891466313,20.57831550791163,12.341172218832515,15.729290262553755,11.428801797248447,0,0,1,0,0
154,120.0,4,25.939250447021866,20.534322347791406,12.294748322681706,15.683370158155086,11.377891660444073,0,0,1,0,0
156,120.0,4,25.994806002577427,20.490329187671186,12.248324426530893,15.637450053756416,11.326981523639699,0,0,1,0,0
158,120.0,4,26.050361558132977,20.446336027550963,12.201900530380081,15.591529949357744,11.276071386835328,0,0,1,0,0
160,120.0,4,26.10591711368853,20.402342867430743,12.15547663422927,15.545609844959074,11.225161250030954,0,0,1,0,0
162,120.0,4,26.16147266924409,20.358349707310524,12.109052738078459,15.499689740560404,11.174251113226582,0,0,1,0,0
164,120.0,4,26.217028224799645,20.3143565471903,12.06262884192765,15.453769636161732,11.12334097642221,0,0,1,0,0
166,120.0,4,26.272583780355202,20.270363387070077,12.016204945776837,15.407849531763063,11.072430839617837,0,0,1,0,0
168,120.0,4,26.328139335910755,20.226370226949854,11.969781049626025,15.361929427364393,11.021520702813465,0,0,1,0,0
170,120.0,4,26.38369489146631,20.182377066829634,11.923357153475214,15.316009322965721,10.970610566009093,0,0,1,0,0
172,120.0,4,26.439250447021866,20.138383906709414,11.876933257324403,15.270089218567051,10.919700429204719,0,0,1,0,0
174,120.0,4,26.49480600257742,20.09439074658919,11.830509361173593,15.224169114168381,10.868790292400348,0,0,1,0,0
176,120.0,4,26.55036155813298,20.05039758646897,11.78408546502278,15.17824900976971,10.817880155595974,0,0,1,0,0
178,120.0,4,26.60591711368853,20.006404426348748,11.73766156887197,15.13232890537104,10.766970018791602,0,0,1,0,0
180,120.0,4,26.661472669244084,19.96241126622853,11.691237672721158,15.08640880097237,10.71605988198723,0,0,1,0,0
182,120.0,4,26.717028224799645,19.91841810610831,11.644813776570347,15.040488696573698,10.665149745182857,0,0,1,0,0
184,120.0,4,26.772583780355202,19.874424945988086,11.598389880419537,14.994568592175028,10.614239608378483,0,0,1,0,0
186,120.0,4,26.828139335910762,19.830431785867862,11.551965984268724,14.948648487776358,10.56332947157411,0,0,1,0,0
188,120.0,4,26.88369489146632,19.78643862574764,11.505542088117913,14.902728383377687,10.512419334769739,0,0,1,0,0
190,120.0,4,26.939250447021873,19.74244546562742,11.459118191967102,14.856808278979017,10.461509197965366,0,0,1,0,0
192,120.0,4,26.99480600257743,19.6984523055072,11.41269429581629,14.810888174580347,10.410599061160994,0,0,1,0,0
