time_s,total_load_kw,total_queue,bus_0_soc,bus_1_soc,bus_2_soc,bus_3_soc,bus_4_soc,bus_0_charging,bus_1_charging,bus_2_charging,bus_3_charging,bus_4_charging
2,240.0,3,21.71702822479966,23.87780251692823,15.822964430143353,19.173298092454036,15.24706205757633,0,0,1,1,0
4,240.0,5,21.772583780355216,23.933358072483788,15.776540533992542,19.127377988055365,15.196151920771959,0,0,1,1,0
6,240.0,6,21.82813933591077,23.98891362803934,15.730116637841729,19.081457883656697,15.145241783967586,0,0,1,1,0
8,240.0,6,21.883694891466327,24.0444691835949,15.683692741690919,19.035537779258025,15.094331647163218,0,0,1,1,0
10,240.0,6,21.939250447021884,24.100024739150456,15.637268845540106,18.989617674859353,15.043421510358845,0,0,1,1,0
12,240.0,6,21.994806002577434,24.15558029470601,15.590844949389297,18.943697570460685,14.992511373554473,0,0,1,1,0
14,240.0,6,22.05036155813299,24.211135850261563,15.544421053238485,18.897777466062013,14.941601236750104,0,0,1,1,0
16,240.0,6,22.105917113688548,24.26669140581712,15.497997157087672,18.851857361663342,14.890691099945732,0,0,1,1,0
18,240.0,6,22.1614726692441,24.322246961372677,15.451573260936863,18.805937257264674,14.839780963141362,0,0,1,1,0
20,240.0,6,22.21702822479966,24.37780251692823,15.40514936478605,18.760017152866002,14.78887082633699,0,0,1,1,0
22,240.0,6,22.272583780355212,24.433358072483784,15.35872546863524,18.71409704846733,14.73796068953262,0,0,1,1,0
24,240.0,6,22.32813933591077,24.48891362803934,15.31230157248443,18.668176944068662,14.687050552728248,0,0,1,1,0
26,240.0,6,22.383694891466323,24.5444691835949,15.265877676333616,18.62225683966999,14.636140415923876,0,0,1,1,0
28,240.0,6,22.43925044702188,24.600024739150452,15.219453780182807,18.57633673527132,14.585230279119504,0,0,1,1,0
30,240.0,6,22.494806002577437,24.65558029470601,15.173029884031994,18.53041663087265,14.534320142315135,0,0,1,1,0
32,240.0,6,22.550361558132987,24.711135850261563,15.126605987881184,18.48449652647398,14.483410005510763,0,0,1,1,0
